WorkerID	neutral_neutral	neutral_surprise	neutral_sad	neutral_disgust	neutral_happy	neutral_angry	neutral_fear	surprise_neutral	surprise_surprise	surprise_sad	surprise_disgust	surprise_happy	surprise_angry	surprise_fear	sad_neutral	sad_surprise	sad_sad	sad_disgust	sad_happy	sad_angry	sad_fear	disgust_neutral	disgust_surprise	disgust_sad	disgust_disgust	disgust_happy	disgust_angry	disgust_fear	happy_neutral	happy_surprise	happy_sad	happy_disgust	happy_happy	happy_angry	happy_fear	angry_neutral	angry_surprise	angry_sad	angry_disgust	angry_happy	angry_angry	angry_fear	fear_neutral	fear_surprise	fear_sad	fear_disgust	fear_happy	fear_angry	fear_fear
A107V1K6AZNU90	1.0	0.0	2.486213933092765e-46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.1821839129527772e-117	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	4.299222205325746e-63	0.0	1.0	0.0	0.0	3.3278381046448983e-106	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A12VDN3TJJCAQQ	1.0	0.0	0.0	6.206457806176443e-134	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8522363382273912	0.0	0.0	0.0	0.1477636617726088	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
A15W6N8EGATQY2	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A16GH5GPKBX5GA	0.6442418870967698	0.016922999097364062	0.25547088479635316	0.0	0.08336422900951299	0.0	0.0	0.4634569327082157	0.2257374858261728	0.3108055814656116	0.0	0.0	0.0	0.0	9.479022795121293e-134	0.4495723426535001	0.5504276573464999	0.0	0.0	7.87851505464679e-18	0.0	0.0	3.752265069585174e-24	1.0	0.0	0.0	0.0	0.0	0.11180622781309285	0.09089251700773186	2.669372756556149e-280	0.0	0.7086994018368292	0.0	0.08860185334234598	0.0	0.8571428571428571	3.5798463248970074e-73	0.0	0.0	0.14285714285714285	0.0	0.0	8.288917648339449e-46	0.6144263963880502	0.0	0.0	0.0	0.3855736036119498
A17LA7KM9S0SCS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A17PYKQUQH830K	0.9778171607320442	0.0	0.02218283926795584	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.885235738103709e-69	0.0	0.4971480650739206	0.0	0.0	0.0	0.5028519349260794	0.0	0.1907700937633658	0.0	0.0	0.0	0.8092299062366342	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.75	6.599266070007829e-40	1.0	0.0	0.0	0.0	0.0	0.0	5.230008560025417e-90
A17T3PFM6FKPU4	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.5207985820078948	0.0	0.0	0.0	0.0	0.0	0.47920141799210525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
A1D9FECXIKCO4O	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A1DX7MP76A0RZK	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	7.325183141342654e-53	0.0	1.0	0.0	0.0	0.0	0.0	1.9168872220770743e-25	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
A1G0W1P43RTBKK	0.7067401287330435	0.2932598712669565	0.0	0.0	2.9365713210761404e-61	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.46874660559398956	0.0	0.2364544260054994	6.815890117646422e-33	0.0	0.29479896840051106	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.5235727826100955	0.0	0.0	0.4764272173899044	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
