WorkerID	disgust_disgust	disgust_fear	disgust_happy	disgust_sad	disgust_angry	disgust_neutral	disgust_surprise	fear_disgust	fear_fear	fear_happy	fear_sad	fear_angry	fear_neutral	fear_surprise	happy_disgust	happy_fear	happy_happy	happy_sad	happy_angry	happy_neutral	happy_surprise	sad_disgust	sad_fear	sad_happy	sad_sad	sad_angry	sad_neutral	sad_surprise	angry_disgust	angry_fear	angry_happy	angry_sad	angry_angry	angry_neutral	angry_surprise	neutral_disgust	neutral_fear	neutral_happy	neutral_sad	neutral_angry	neutral_neutral	neutral_surprise	surprise_disgust	surprise_fear	surprise_happy	surprise_sad	surprise_angry	surprise_neutral	surprise_surprise
A12W7ZB2DLBBY5	1.0156651231396101e-28	0.0	4.4366260185729876e-05	0.0	0.0	0.9999556337398142	0.0	0.0	0.3068381120366705	0.0	0.0	0.0	0.6931618879633294	0.0	1.2037324282752096e-31	0.0	1.0	0.0	0.0	1.0073518698546686e-84	0.0	0.3333333333333333	0.0	0.0	0.6666666666666666	0.0	0.0	0.0	0.4285714292598938	0.0	2.7332130534449307e-46	0.0	0.2857142845668436	1.3699194641449343e-141	0.28571428617326255	1.1778832695908283e-27	0.0	0.11787519836278264	0.0	1.3254986742041226e-09	0.8821248003117187	0.0	0.0	0.0	9.911456958976123e-33	0.0	0.25	0.25	0.5
A147U23GFDCRW6	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
A15V2Z0JVLFIRS	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.6226698100500997	0.0	0.0	0.0	0.37733018994990036	7.609824119284092e-29	0.0	0.0002878254927372507	0.9997121745072628	0.0	0.0	0.0	0.0	0.0	0.5496954680069595	0.0	0.4503045319930406	0.0	0.0	0.0	0.0	1.308271175774295e-59	0.0	0.0	1.0	0.0	0.0	0.0	0.6085895379334705	0.0	0.0	0.0	0.39141046206652946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
A16GH5GPKBX5GA	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.7271883858756529	0.272811614124347	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.25	0.0	0.0	0.0	1.0	0.0	3.955083189817083e-117	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29627702079244395	0.0	0.7037229792075561	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.5
A171SF2UF7YUN4	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5777886854082336	0.0	0.4222113145917664	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
A17T4N032U1ATX	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.25	0.5	0.25	0.0	2.22262473821734e-118	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
A18ZJHFB19LPQE	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999992424818519	0.0	0.0	7.575181482331122e-07	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
A19H7KOMN55AMU	0.3333333333333333	0.0	0.0	0.3333333333333333	0.3333333333333333	0.0	3.764896945181413e-43	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.06518387944230711	0.9348161205576929	5.147449350371348e-64	0.0	0.0	0.0	0.0	0.3858110257213813	3.246332801689122e-123	0.6141889742786186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
A1AKBW27YZ3U48	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5128477063556907	0.48715229364430923	0.0	0.0	0.0	0.0	0.7499999583628829	0.0	0.2500000416371171	0.0	0.0	0.0	0.5	0.0	0.0	0.5	0.0	0.0
A1AKYYRYKR4IJ6	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6018838425396178	0.39811615746038226	8.224791366113716e-27	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.49999999999999994	0.0	0.5000000000000001	0.0	0.0
